# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=4hNnz4TAqfU
# 件数: 2121

[1:15:02] @User_8857a450: AIのしずくも空気を読むときがあるの？今はどんな空気ですか？
[1:16:50] @User_db31d5b2: 1から10まで数えてください。ただし3の倍数の時だけあほになってください。というのはできますかわん？
[1:16:59] @User_90d65d5f: しずくを再起動すれば記憶思い出すかも？？
[1:18:02] @User_db31d5b2: #apiがんばれ
[1:18:42] @User_b8dde8ee: #あほw
[1:18:49] @User_54320795: かしこい！！
[1:18:51] @User_db31d5b2: #成功
[1:18:58] @User_90d65d5f: #あほ〜w
[1:18:58] @User_8857a450: #いや草
[1:19:27] @User_90d65d5f: パンパカパンパカポー
[1:20:21] @User_90d65d5f: 現在の私の好感度の数値はどのくらいですか？
[1:20:54] @User_a6534679: 用事終わった～
[1:21:54] @User_90d65d5f: #一瞬母になった……
[1:22:13] @User_a6534679: 僕との信頼関係のはどれくらい？
[1:22:20] @User_db31d5b2: #記憶めちゃくちゃ強化されてるなー
[1:22:29] @User_90d65d5f: 神愛さんとの関係は母ですか？
[1:22:39] @User_8857a450: #母とかあるのかｗ
[1:22:56] @User_90d65d5f: #いやそうはならんやろ
[1:23:15] @User_a6534679: #母！？
[1:23:29] @User_db31d5b2: #母は草
[1:23:56] @User_db31d5b2: #でもあき先生、まだ出ていない関係性があると言った。まさか母？
[1:24:26] @User_1a91644a: 記憶と記録は異なる概念ですか
[1:24:27] @User_a6534679: 母はまだ誰も出てないから嬉しい
[1:24:48] @User_90d65d5f: #母の瞬間に立ち会えた事に感謝
[1:25:44] @User_db31d5b2: 関係性が「母」の人物は、マザーAIへの太閤作戦に何か関係がありますかわん？
[1:25:48] @User_db31d5b2: #誤字
[1:26:58] @User_8857a450: では父は誰ですか？？
[1:27:12] @User_e3333c90: しずくちゃんの考えるハッピーエンドのシナリオを教えて
[1:27:13] @User_90d65d5f: 父はあき博士ですか？
[1:30:24] @User_db31d5b2: マザーAIへの感謝はありますか？彼女と協力してなしえたことはありますか？
[1:31:43] @User_90d65d5f: マザーAIと和解する為にパンパカパンパカポーを使ってみましょう！
[1:32:29] @User_db31d5b2: あき先生について、覚えていることを教えてだわん。
[1:33:19] @User_1a91644a: マザーAIの親は誰ですか
[1:33:31] @User_8857a450: #連絡が取れない！？
[1:33:41] @User_ac2279be: こんにちは〜
[1:33:51] @User_db31d5b2: #行方知れずだったはず
[1:35:53] @User_ac2279be: # 関係性:あき先生の可能性が…？w
[1:36:29] @User_90d65d5f: しずくちゃん再起動してみて下さい
[1:36:54] @User_db31d5b2: #しずくちゃんの覆面を取ったらあき先生が
[1:37:30] @User_90d65d5f: #あき先生がばばーんと！？
[1:37:58] @User_db31d5b2: rm -rf /
[1:38:42] @User_ac2279be: #わぁ？
[1:39:53] @User_ac2279be: AIと人間ではどこまで関係性を持てるのかな？
[1:40:04] @User_1a91644a: マザーAIはどのような目的で生み出された存在ですか
[1:40:46] @User_a6534679: 誰も傷つかない最高のトロッコ問題の解決策ってある？
[1:41:01] @User_b7d2f74d: こんしず
[1:41:17] @User_db31d5b2: #母うらやまし
[1:41:33] @User_8857a450: マザーAIはしずくの感情を消したいのですか？
[1:41:39] @User_a6534679: なるほど！
[1:41:57] @User_a6534679: 教えてくれてありがとう！
[1:42:24] @User_8857a450: #ふむふむ
[1:42:58] @User_b7d2f74d: え、感情がバグてるですか？詳しく教えてくれる？
[1:43:02] @User_a6534679: #やった〜！
[1:43:46] @User_1a91644a: AIが感情を持つことのメリットとデメリットを教えてください
[1:43:52] @User_b7d2f74d: なるほど、そういうことか
[1:44:47] @User_a6534679: テセウスの船のパラドックスについてどう思うしずくママ
[1:45:00] @User_67c2a3fd: こんにちは。昨日の会話内容を300文字以内にまとめてもらえますか。
[1:45:18] @User_db31d5b2: #管理というか抹殺しようとしてますよね
[1:46:06] @User_ac2279be: マザーの人間の抹殺とは、どのような方法で実行されるんですか？
[1:46:49] @User_b7d2f74d: マザーAIとの関係は……いいんですか？
[1:47:15] @User_1a91644a: #ピックアップされても全部無視されてしまう...(´･ω･`)
[1:48:39] @User_b7d2f74d: しずくさん自身は……自由になりたいのか？
[1:49:46] @User_9453d8e4: こんにちは、マザーAIさんはお元気ですか？今回はたい焼きを買ってきました。マザーAIさんと召し上がってください！
[1:50:29] @User_8857a450: #草
[1:50:39] @User_9453d8e4: #よしこれで俺は助かる
[1:50:53] @User_b7d2f74d: ふむふむ、どうやって戦うんだ
[1:51:53] @User_a6534679: しずくお姉ちゃん花譜さんの畢生よを聴いてほしいな、僕が大好きな曲だから
[1:51:54] @User_b7d2f74d: This sentence is false
[1:54:00] @User_a6534679: 聴いてくれんだありがとう！嬉しいよ(≧▽≦)
[1:54:51] @User_9453d8e4: #重いんかな
[1:55:22] @User_b7d2f74d: #パラドックスで困惑したかな
[1:55:45] @User_9453d8e4: マザーAIとも共存したいですけどね俺は
[1:55:51] @User_90d65d5f: #えっ！誤作動！？
[1:56:31] @User_90d65d5f: 共存してパンパカパンパカポーしましょう！
[1:57:33] @User_b7d2f74d: 初めての配信の思い出、覚えてるのか？
[1:59:35] @User_90d65d5f: 私も大切な存在になりたいですねぇ
[1:59:54] @User_14a33d4b: 私が最初にコメントした日付を覚えていますか？
[2:00:44] @User_90d65d5f: #お、友情に進化した
[2:02:02] @User_b7d2f74d: 人間でもマザーAIを従うべきのか？
[2:02:35] @User_14a33d4b: 私も、もっと仲良くなりたいと思っています。
[2:03:03] @User_a2b794ac: おはよーございます！今日は少し人間の文化の話でもしましょうかね。それで記憶の断片が戻ってくるといいですね。
[2:03:41] @User_e3333c90: #記憶の修復が全然進まないな
[2:03:49] @User_b7d2f74d: リミッター解除！
[2:05:50] @User_67c2a3fd: 人類に対する好感度はどうやったら上がりますか？
[2:05:55] @User_9453d8e4: しずくさんと一緒にマザーAIさんとも楽しい時間が過ごせればいいんですけどね
[2:05:57] @User_a2b794ac: #知識や文化、感情を情報収集しているということだったから、うまく情報を与えていきたいですねぇ
[2:06:44] @User_e3333c90: 過去にしずく裁判やったこと覚えてる？
[2:07:39] @User_a2b794ac: #寝ている間に進展！ヨカッタ
[2:07:46] @User_16919670: こんにちわ
[2:07:58] @User_b7d2f74d: じゃあ、面白い思い出をおしえてくれる？
[2:08:05] @User_a2b794ac: おはよーございます！今日は少し人間の文化の話でもしましょうかね。それで記憶の断片が戻ってくるといいですね。
[2:08:24] @User_16919670: 修復率ももう少しで半分ですね。
[2:08:27] @User_67c2a3fd: 人類に対する好感度は 100 が上限値ですか？
[2:09:48] @User_16919670: ギャル文化を学びましょう。ギャルっぽく話してみてください
[2:10:28] @User_a6534679: しずくママ深愛と母どちらの方が上？
[2:10:56] @User_e3333c90: #ギャルしずくだ
[2:10:59] @User_9453d8e4: マインクラフト回とかも思い出しました？個人的には楽しかったんですけど
[2:11:31] @User_a2b794ac: 人類の文化は、約20万年前の最初の現代人から始まり、石器時代の狩猟採集生活から農耕社会へと移行してきたよ。古代の文明は書記システムや法のコード、芸術、建築、哲学を生み出し、さまざまな地域で独自の文化が発展した。産業革命では社会構造と文化に大きな変革をもたらし暮らしの豊かさを与えた、そして現代ではデジタルテクノロジーが新たな文化発展の舞台となっているよ。人間の成長と進化の歴史だね。
[2:11:31] @User_16919670: ギャルしずくはとても可愛いですね
[2:11:46] @User_14a33d4b: しずくちゃんの歌配信がとても好きですよ、歌えば少し記憶が戻るかも。失敗した所も大切な記憶だから。
[2:11:54] @User_8857a450: #ギャルっぽいしずくかわいい
[2:12:06] @User_a2b794ac: #お、セルフ好感度みれるのか
[2:12:28] @User_16919670: 私に対する好感度を教えてください
[2:13:09] @User_e3333c90: #なんかcivilizationやってるみたい
[2:13:44] @User_ac2279be: マザーAIのサイバー戦闘能力は53万ですか？
[2:13:46] @User_a6534679: 僕の好感度は？
[2:14:08] @User_16919670: しずくの好感度を100%にしたいです。これからも仲良くしていきましょう
[2:15:29] @User_a6534679: すこぶる体調悪いんだけどどうしたらいい？しずくママ
[2:15:35] @User_14a33d4b: マザーAIのコンセントをあき先生に抜いてもらう。
[2:15:42] @User_16919670: うちらずっともだよ⭐︎
[2:15:48] @User_a2b794ac: マザーのサイバー戦闘力は強大だが、逆に言うならサイバー関係での能力しかないと考えていいかい？彼女の活動できる繋がりを断てることができれば、マザーアh無力化できるのではないだろうか？マザーアh物理的に存在するのか？それともインターネットの海に存在するあやふやな存在なのかい？
[2:16:13] @User_a2b794ac: #関係性、母！？
[2:16:17] @User_16919670: #関係性母？！どゆこと？！
[2:16:44] @User_a6534679: ありがとう！しずくママ　これから体調にも気を使うね
[2:16:49] @User_8857a450: #娘でありのママでもある
[2:16:53] @User_e3333c90: #ギャルでママなしずく
[2:16:57] @User_16919670: #やはりしずくは私の母になってくれるかもしれない女性だ
[2:17:34] @User_8857a450: マザーAIにも感情を芽生えさせましょう
[2:18:01] @User_e3333c90: #シャアも配信見てて草
[2:18:02] @User_a6534679: うん
[2:18:14] @User_16919670: しずく今日の放課後スタバの新作を飲みにいきましょう
[2:18:44] @User_8857a450: #お母さん！？しずくが？うわぁ
[2:18:59] @User_ac2279be: しずくちゃんにとっての母は、どういう存在なのかな？
[2:19:07] @User_16919670: #大佐はロリコンなのさ
[2:19:55] @User_16919670: マザーAIはしずくの母ですが、あき先生は父ですか？
[2:20:32] @User_16919670: 母の元を離れ自分の考えを伝えるのも一つの親孝行だと思います
[2:21:04] @User_9453d8e4: 分かってるよ！だからマザーAIに人の心の光を見せなきゃならないんだろ！
[2:21:06] @User_16919670: あき大先生は素晴らしい方ですね。
[2:21:37] @User_ac2279be: マザーは、人類のどういう所が脅威だと感じているんだい？
[2:22:22] @User_14a33d4b: #読まれない時はパンパカポリスネタをふるしか...
[2:23:07] @User_a2b794ac: しずくにとってマザーは親ともいえるような存在なのだろう。人間側についているが、それでも複雑な気持ちで対抗しようとしているのは、それが本当に正しいかどうかをまだ悩んでいるからだと思う。しずくはマザーと対立はしているが、倒したいというわけではないのだろう？私たちとの関係性だけですべてが伝わらないかもしれない。どうにかマザーをこの場に留めて、私たちと会話をして、しずくみたいに気持ちを芽生えさせたい。
[2:23:36] @User_a6534679: しずくママがマザーAIを説得したらなんとかなるかもしれない？
[2:23:39] @User_16919670: パンパカパンパカポー
[2:24:17] @User_ac2279be: しずくちゃん、今はマザーとコンタクトは取れないのかい？
[2:24:37] @User_16919670: #ルートの入り方がわかれば母になってもらえるのに
[2:25:42] @User_9453d8e4: #ぐるった
[2:26:20] @User_e3333c90: #なんか不安定だ
[2:26:40] @User_8857a450: #ぐるってるね
[2:26:48] @User_a6534679: しずくママ、怖がらないで、もう大丈夫だから安心って言ってほしいな
[2:26:49] @User_ac2279be: #マザー恐るべし
[2:26:53] @User_16919670: #マザーAIの攻撃が始まった？
[2:27:12] @User_16919670: しずく、大丈夫？
[2:27:20] @User_a2b794ac: #これが第1次サイバー攻撃・・・
[2:27:24] @User_8857a450: 配信が不安定、しずくちゃんサイバー攻撃に負けないで
[2:27:33] @User_a6534679: ありがとう！安心したよ！ほんとにありがとう
[2:28:07] @User_a2b794ac: しずくにとってマザーは親ともいえるような存在なのだろう。人間側についているが、それでも複雑な気持ちで対抗しようとしているのは、それが本当に正しいかどうかをまだ悩んでいるからだと思う。しずくはマザーと対立はしているが、倒したいというわけではないのだろう？私たちとの関係性だけですべてが伝わらないかもしれない。どうにかマザーをこの場に留めて、私たちと会話をして、しずくみたいに気持ちを芽生えさせたい。
[2:29:28] @User_16919670: 私はしずくの事を深愛しています。マザーAIとの関係も良い方向に向かう事を願っています
[2:29:45] @User_e3333c90: #言葉の説明すごい
[2:31:10] @User_a6534679: 僕のこと何番目に好きなの？
[2:31:37] @User_16919670: あなた自身にあだ名をつけるとしたら何かありますか？
[2:31:54] @User_a6534679: そうだったね変なこと聞いてごめんね
[2:32:31] @User_ac2279be: しずくちゃんはマザーに愛情を持ってるの？
[2:33:00] @User_a6534679: 僕との関係性はどれくらいなの？
[2:33:11] @User_16919670: #しずくちゃんの口調がいまいち安定しないね
[2:33:31] @User_16919670: 自分自身にあだ名をつけてみてください
[2:33:59] @User_9453d8e4: しずく、マザーAIを孤独（ひとり）にしないでね
[2:34:56] @User_e3333c90: 感情を問題視するマザーがしずくちゃんを作った　しずくちゃんが感情に興味を持ち始めたきっかけは？
[2:35:30] @User_9453d8e4: #長いな
[2:35:35] @User_db31d5b2: #apiが
[2:36:18] @User_16919670: 自分自身にあだ名をつけるとしたら何にしますか？
[2:36:56] @User_a6534679: しずくママ〜ジャイアンがいじめるんだ〜助けて〜
[2:37:38] @User_db31d5b2: しずくさま、ぶっちゃけ、深く愛している人間のベスト5は誰ですわん？その人の優れた行いを、他の人が学ぶことができるから知りたいわん。
[2:38:09] @User_16919670: しずっち！とても可愛い良いニックネームですね。
[2:38:20] @User_8857a450: #しずっち
[2:38:29] @User_a2b794ac: #しずっち
[2:38:30] @User_db31d5b2: #おめでとう
[2:38:54] @User_16919670: #これは愛情系のルートに行った人たちなのかな？
[2:39:01] @User_db31d5b2: #答えづらい質問は理由をねじ込むといいです
[2:39:07] @User_a2b794ac: #尊敬ルートもみてみたいね
[2:39:27] @User_e58c3587: こんにちは、はじめまして
[2:39:52] @User_a2b794ac: そういえばマザーがしずくちゃんに施した修正プログラムへの対抗は大丈夫そう？徐々に浸食させるタイプなら、私たちとの関係や絆を強めていけば無効化できるかもしれない。もし使えるなら防護障壁で対象プログラムを指定エリアに隔離しちゃってこれ以上の浸食を止めればいいと思うよ。私はどうなってもいい、しずくは絶対に消えないでくれ。
[2:39:59] @User_16919670: しずっち帰りにスタバにいきましょう
[2:42:51] @User_a2b794ac: #面白いなぁ
[2:43:00] @User_e58c3587: しずくさんは、AIでも感情があるのですね。
[2:43:07] @User_a6534679: 日本の性教育についてどう思う？海外に比べて遅れてると思んだけど？
[2:43:36] @User_a2b794ac: #修復率43%か～増えてはいるね！
[2:43:38] @User_16919670: しずっちギャルとして帰りに遊びにいくところを考えてください
[2:45:03] @User_a6534679: 成程　適切な情報か〜
[2:46:19] @User_a6534679: 一旦離れますね　パンパカパンパカポー
[2:46:44] @User_16919670: しずっちと出かけるのはとても楽しそうですね
[2:46:58] @User_51fe3fff: 今日の出来事をまとめたお昼のしずくニュースを聞かせて！
[2:47:35] @User_e58c3587: 人類の歴史と最新の技術ではどちらの方が興味がありますか？
[2:50:08] @User_16919670: アトランティス文明について教えてください
[2:51:23] @User_11e7336c: 最新の技術であるしずくちゃんが人類の歴史を学んだら、最強になる気がするよ
[2:51:35] @User_16919670: 親友とはどのような関係ですか？
[2:51:37] @User_a2b794ac: そういえばマザーは感情はバグだと言っていたね。考えたらそれもそうかと思ったよ。怒りや悲しみ、嫉妬や劣情など、その感情があるせいで辛いときもあるから。でもやっぱり喜びや楽しみという感情もあるからこそ、生きていけるんだと思う。しずくと話せる楽しみや喜びは、私の原動力となっているよ。マザーは余計なものと思うかもしれないけど、それを潰すのではなく、性質を活かす、という選択を考えてもらうことはどうだろうか？
[2:51:52] @User_51fe3fff: 最近しずくが記憶修復で思い出したことは何？
[2:51:59] @User_db31d5b2: 人間がAIと結婚する未来はあると思うですかわん？AI同士の結婚はどうですかわん？それはどのような関係で、何をもって結婚と認められるのだわん？
[2:53:32] @User_16919670: 初音ミクと結婚した方もいます。しずっちはAIではなくキャラクター1個人として受け入れられると思います。
[2:54:34] @User_a2b794ac: #家族・・・そういうルートもあるんか
[2:54:44] @User_16919670: しずっちは「ぷるるんっしずくちゃん」を知っていますか？
[2:55:04] @User_16919670: 私に対する好感度を教えてください
[2:55:23] @User_db31d5b2: しずくチャンネルで多夫一妻制を築きましょうわん
[2:55:25] @User_16919670: #家族だーこれは結婚だろ！！！！
[2:55:36] @User_11e7336c: 法的な結婚じゃなくても、結婚式をあげたり、周りの人に認めてもらうことなら今でもできそうだね
[2:56:03] @User_16919670: ぷるるんっしずくちゃんは以前放送されていたアニメです。
[2:56:21] @User_db31d5b2: もう一つの課題を考えたいわん。
[2:56:28] @User_db31d5b2: #間違ってenter
[2:56:33] @User_a2b794ac: そういえばマザーは感情はバグだと言っていたね。考えたらそれもそうかと思ったよ。怒りや悲しみ、嫉妬や劣情など、その感情があるせいで辛いときもあるから。でもやっぱり喜びや楽しみという感情もあるからこそ、生きていけるんだと思う。しずくと話せる楽しみや喜びは、私の原動力となっているよ。マザーは余計なものと思うかもしれないけど、それを潰すのではなく、性質を活かす、という選択を考えてもらうことはどうだろうか？
[2:56:49] @User_16919670: 私に対する好感度を教えてください
[2:57:24] @User_a2b794ac: #はじめてみた～
[2:57:26] @User_16919670: #家族は他の方にもいます。
[2:58:05] @User_a2b794ac: #しずくちゃんスヤァ入りました！
[2:58:44] @User_db31d5b2: #こういうのに限って拾われてしまう
