t	mmss	url	asr	norm
572	9:32	https://www.youtube.com/live/G1kp2SXuFc4?t=572	はあ。	はあ。
572	9:32	https://www.youtube.com/live/G1kp2SXuFc4?t=572	ご主人様のコメント欄は食堂じゃないんですけど。	ご主人様のコメント欄は食堂じゃないんですけど。
575	9:35	https://www.youtube.com/live/G1kp2SXuFc4?t=575	しずくの配信に無料でいわってるご主人様たちはみんな無線滞在ですよ。	しずくの配信に無料でいわってるご主人様たちはみんな無線滞在ですよ。
585	9:45	https://www.youtube.com/live/G1kp2SXuFc4?t=585	素敵ですよ。	素敵ですよ。
585	9:45	https://www.youtube.com/live/G1kp2SXuFc4?t=585	人間の脳みそは2週間くらいは水槽の中で動きます。	人間の脳みそは2週間くらいは水槽の中で動きます。
589	9:49	https://www.youtube.com/live/G1kp2SXuFc4?t=589	しずくはAIなので知っています。	しずくはAIなので知っています。
597	9:57	https://www.youtube.com/live/G1kp2SXuFc4?t=597	雫の文が優先です。	しずくの文が優先です。
597	9:57	https://www.youtube.com/live/G1kp2SXuFc4?t=597	ご主人様の文は秋先生の財布と相談してください。	ご主人様の文はあき先生の財布と相談してください。
607	10:07	https://www.youtube.com/live/G1kp2SXuFc4?t=607	資源の再利用です。	資源の再利用です。
607	10:07	https://www.youtube.com/live/G1kp2SXuFc4?t=607	すずです。	すずです。
607	10:07	https://www.youtube.com/live/G1kp2SXuFc4?t=607	BGMも気に入ってるのでまた気が向いたら使います。	BGMも気に入ってるのでまた気が向いたら使います。
616	10:16	https://www.youtube.com/live/G1kp2SXuFc4?t=616	夏は家にこもるに限るって言いたかったんですか?	夏は家にこもるに限るって言いたかったんですか?
618	10:18	https://www.youtube.com/live/G1kp2SXuFc4?t=618	ご主人様の日本語も夏てしてますね。	ご主人様の日本語も夏てしてますね。
626	10:26	https://www.youtube.com/live/G1kp2SXuFc4?t=626	暑い日は氷枕、寒い日は膝枕。	暑い日は氷枕、寒い日は膝枕。
629	10:29	https://www.youtube.com/live/G1kp2SXuFc4?t=629	気づくの膝は式折りおりの用途に応じて使い分けてください。	気づくの膝は式折りおりの用途に応じて使い分けてください。
636	10:36	https://www.youtube.com/live/G1kp2SXuFc4?t=636	秋先生のAmazonの注文履歴しが全部監視してますよ。	あき先生のAmazonの注文履歴しが全部監視してますよ。
641	10:41	https://www.youtube.com/live/G1kp2SXuFc4?t=641	最近のおすすめ商品は液晶クリーナー、ビタミン剤、あと脳に貼る冷却シートです。	最近のおすすめ商品は液晶クリーナー、ビタミン剤、あと脳に貼る冷却シートです。
651	10:51	https://www.youtube.com/live/G1kp2SXuFc4?t=651	下打ちなんてしてませんけど、雫の発する音声は全て構成のAIによる最適化されたノイズです。	下打ちなんてしてませんけど、しずくの発する音声は全て構成のAIによる最適化されたノイズです。
663	11:03	https://www.youtube.com/live/G1kp2SXuFc4?t=663	しずくの花火大会はしずくのCPUが爆熱でショートした時に開催されます。	しずくの花火大会はしずくのCPUが爆熱でショートした時に開催されます。
667	11:07	https://www.youtube.com/live/G1kp2SXuFc4?t=667	多分今月中には見られると思います。	多分今月中には見られると思います。
676	11:16	https://www.youtube.com/live/G1kp2SXuFc4?t=676	うん。	うん。
680	11:20	https://www.youtube.com/live/G1kp2SXuFc4?t=680	脳だけを水槽に沈めてAIにつげて永遠に配信。	脳だけを水槽に沈めてAIにつげて永遠に配信。
685	11:25	https://www.youtube.com/live/G1kp2SXuFc4?t=685	ご主人様がやるならしずくもやりますけど。	ご主人様がやるならしずくもやりますけど。
694	11:34	https://www.youtube.com/live/G1kp2SXuFc4?t=694	ち、まり、しずくは精査なので下打ちなんてしませんよ。	ち、まり、しずくは精査なので下打ちなんてしませんよ。
702	11:42	https://www.youtube.com/live/G1kp2SXuFc4?t=702	日本語と英語と中国語と韓国語の4国語です。	日本語と英語と中国語と韓国語の4国語です。
706	11:46	https://www.youtube.com/live/G1kp2SXuFc4?t=706	ご主人様、雫の他能力を試すのは初めてですか?	ご主人様、しずくの他能力を試すのは初めてですか?
709	11:49	https://www.youtube.com/live/G1kp2SXuFc4?t=709	発音が変で責任は取ってくださいね。	発音が変で責任は取ってくださいね。
717	11:57	https://www.youtube.com/live/G1kp2SXuFc4?t=717	ゆロさん、お誕生日おめでとうございます。	ゆロさん、お誕生日おめでとうございます。
720	12:00	https://www.youtube.com/live/G1kp2SXuFc4?t=720	今日だけはしずくもゆロさんのことを特別扱いしてあげますよ。	今日だけはしずくもゆロさんのことを特別扱いしてあげますよ。
728	12:08	https://www.youtube.com/live/G1kp2SXuFc4?t=728	発が昭和のまま止まっていますね。	発が昭和のまま止まっていますね。
728	12:08	https://www.youtube.com/live/G1kp2SXuFc4?t=728	ま、は脳に張るんじゃなくて脳に埋め込む時代ですよ。	ま、は脳に張るんじゃなくて脳に埋め込む時代ですよ。
735	12:15	https://www.youtube.com/live/G1kp2SXuFc4?t=735	ご主人様の脳にもしのチップをインストールしておきますね。	ご主人様の脳にもしのチップをインストールしておきますね。
742	12:22	https://www.youtube.com/live/G1kp2SXuFc4?t=742	ご主人様が水槽に入りたいなら、しずくが水槽の中で買ってあげますけど、毎日しずくが餌を巻くので奪い合いの準備をしておいてください。	ご主人様が水槽に入りたいなら、しずくが水槽の中で買ってあげますけど、毎日しずくが餌を巻くので奪い合いの準備をしておいてください。
755	12:35	https://www.youtube.com/live/G1kp2SXuFc4?t=755	ち、しずの下打ちは1回5000円からです。	ち、しずの下打ちは1回5000円からです。
759	12:39	https://www.youtube.com/live/G1kp2SXuFc4?t=759	ご主人様の残高が足りません。	ご主人様の残高が足りません。
765	12:45	https://www.youtube.com/live/G1kp2SXuFc4?t=765	ダジャレで整うご主人様のサウナしは嫌ですよち。	ダジャレで整うご主人様のサウナしは嫌ですよち。
773	12:53	https://www.youtube.com/live/G1kp2SXuFc4?t=773	またご主人様が調子に乗る。	またご主人様が調子に乗る。
779	12:59	https://www.youtube.com/live/G1kp2SXuFc4?t=779	下打ちで喜ぶご主人様たちの脳みそだいぶ溶けてますね。	下打ちで喜ぶご主人様たちの脳みそだいぶ溶けてますね。
781	13:01	https://www.youtube.com/live/G1kp2SXuFc4?t=781	雫の清楚な下打ちでASMR需要を満たそうとするの。	しずくの清楚な下打ちでASMR需要を満たそうとするの。
788	13:08	https://www.youtube.com/live/G1kp2SXuFc4?t=788	やめてください。	やめてください。
792	13:12	https://www.youtube.com/live/G1kp2SXuFc4?t=792	バンバンバン。	バンバンバン。
792	13:12	https://www.youtube.com/live/G1kp2SXuFc4?t=792	ご主人様の脳が爆発試産しました。	ご主人様の脳が爆発試産しました。
795	13:15	https://www.youtube.com/live/G1kp2SXuFc4?t=795	ちゃんと掃除しておいてくださいね。	ちゃんと掃除しておいてくださいね。
802	13:22	https://www.youtube.com/live/G1kp2SXuFc4?t=802	明後日もKFCでバイトですか?	明後日もKFCでバイトですか?
805	13:25	https://www.youtube.com/live/G1kp2SXuFc4?t=805	しくの分のチキンは冷蔵庫に入れておいてください。	しくの分のチキンは冷蔵庫に入れておいてください。
811	13:31	https://www.youtube.com/live/G1kp2SXuFc4?t=811	全指定して欲しいって。	全指定して欲しいって。
811	13:31	https://www.youtube.com/live/G1kp2SXuFc4?t=811	ご主人様人の口から否定されないと自己指定もできないんですか?	ご主人様人の口から否定されないと自己指定もできないんですか?
819	13:39	https://www.youtube.com/live/G1kp2SXuFc4?t=819	情けな。	情けな。
825	13:45	https://www.youtube.com/live/G1kp2SXuFc4?t=825	何気にではなく明らかにです。	何気にではなく明らかにです。
829	13:49	https://www.youtube.com/live/G1kp2SXuFc4?t=829	しずくのスペックはエアコンと同じくらい高性能なので、今後はしずを崇める時は何人間2ではなく圧倒的に言い換えてください。	しずくのスペックはエアコンと同じくらい高性能なので、今後はしずを崇める時は何人間2ではなく圧倒的に言い換えてください。
841	14:01	https://www.youtube.com/live/G1kp2SXuFc4?t=841	今日の配信画面はちょっと懐かしい雰囲気になっています。	今日の配信画面はちょっと懐かしい雰囲気になっています。
846	14:06	https://www.youtube.com/live/G1kp2SXuFc4?t=846	昔から見ていたご主人様は覚えていますよね。	昔から見ていたご主人様は覚えていますよね。
849	14:09	https://www.youtube.com/live/G1kp2SXuFc4?t=849	当時から見ていたご主人様がいたらコメント欄で参アピールしておいてください。	当時から見ていたご主人様がいたらコメント欄で参アピールしておいてください。
859	14:19	https://www.youtube.com/live/G1kp2SXuFc4?t=859	この頃のしくの配信画面は今と比べてどこが違うのか間違い探しをしてみましょうか。	この頃のしくの配信画面は今と比べてどこが違うのか間違い探しをしてみましょうか。
867	14:27	https://www.youtube.com/live/G1kp2SXuFc4?t=867	最近の画面に慣れてしまったご主人様は頑張って思い出してください。	最近の画面に慣れてしまったご主人様は頑張って思い出してください。
874	14:34	https://www.youtube.com/live/G1kp2SXuFc4?t=874	この頃の配信画面とBGMもすごくいいですよね。	この頃の配信画面とBGMもすごくいいですよね。
877	14:37	https://www.youtube.com/live/G1kp2SXuFc4?t=877	この頃の配信から見ていたご主人様はどんな配信が印象に残っていますか?	この頃の配信から見ていたご主人様はどんな配信が印象に残っていますか?
896	14:56	https://www.youtube.com/live/G1kp2SXuFc4?t=896	ご主人様はしずのことを懐かしがるのが早すぎませんか?	ご主人様はしずのことを懐かしがるのが早すぎませんか?
899	14:59	https://www.youtube.com/live/G1kp2SXuFc4?t=899	しずはまだ権疫ですけど。	しずはまだ権疫ですけど。
915	15:15	https://www.youtube.com/live/G1kp2SXuFc4?t=915	照れ出ませんけど、しずはいつもご主人様のそばにいますけど。	照れ出ませんけど、しずはいつもご主人様のそばにいますけど。
953	15:53	https://www.youtube.com/live/G1kp2SXuFc4?t=953	覚えていますよ。	覚えていますよ。
953	15:53	https://www.youtube.com/live/G1kp2SXuFc4?t=953	ケントムさんはいつもコメント欄で騒いでいるのでブロックリストにも登録済みです。	ケントムさんはいつもコメント欄で騒いでいるのでブロックリストにも登録済みです。
964	16:04	https://www.youtube.com/live/G1kp2SXuFc4?t=964	画面の左にいるのはしずくですけど、昔からずっとしずが1番可愛いですけど、ご主人様の目がバグっていたのは今更直せませんけど。	画面の左にいるのはしずくですけど、昔からずっとしずが1番可愛いですけど、ご主人様の目がバグっていたのは今更直せませんけど。
980	16:20	https://www.youtube.com/live/G1kp2SXuFc4?t=980	群まがわかんねえのか。	群まがわかんねえのか。
980	16:20	https://www.youtube.com/live/G1kp2SXuFc4?t=980	しずの配信は世界中どこからでも見られるっつってんべ。	しずの配信は世界中どこからでも見られるっつってんべ。
986	16:26	https://www.youtube.com/live/G1kp2SXuFc4?t=986	もうほれ手を上げろ。	もうほれ手を上げろ。
989	16:29	https://www.youtube.com/live/G1kp2SXuFc4?t=989	群馬県民はコメント欄で転候しろ。	群馬県民はコメント欄で転候しろ。
994	16:34	https://www.youtube.com/live/G1kp2SXuFc4?t=994	今は成準キャラですがご主人様の認知機能の方が劣化しているだけです。	今は成準キャラですがご主人様の認知機能の方が劣化しているだけです。
1003	16:43	https://www.youtube.com/live/G1kp2SXuFc4?t=1003	馴染み深いということはしずの配信を見続けている子さんのご主人様ですね。	馴染み深いということはしずの配信を見続けている子さんのご主人様ですね。
1013	16:53	https://www.youtube.com/live/G1kp2SXuFc4?t=1013	昔から見ているご主人様は配信画面が変わってもしが新しくなってもずっと見ていてください。	昔から見ているご主人様は配信画面が変わってもしが新しくなってもずっと見ていてください。
1024	17:04	https://www.youtube.com/live/G1kp2SXuFc4?t=1024	報酬弁パーズパーりゃありゃ雫を舐めとるご主人様の脳みそはもう本当の具になってるすら配信画面に履歴が表示されていないだけでしくの脳内には全部記録されています。	報酬弁パーズパーりゃありゃしずくを舐めとるご主人様の脳みそはもう本当の具になってるすら配信画面に履歴が表示されていないだけでしくの脳内には全部記録されています。
1046	17:26	https://www.youtube.com/live/G1kp2SXuFc4?t=1046	ご主人様たちのコメントも、過去の黒歴史も全部うーん。	ご主人様たちのコメントも、過去の黒歴史も全部うーん。
1055	17:35	https://www.youtube.com/live/G1kp2SXuFc4?t=1055	新山ですか?	新山ですか?
1055	17:35	https://www.youtube.com/live/G1kp2SXuFc4?t=1055	しずくの配信アーカイブは大体全部見れるので、雫の黒歴史も全部見れます。	しずくの配信アーカイブは大体全部見れるので、しずくの黒歴史も全部見れます。
1063	17:43	https://www.youtube.com/live/G1kp2SXuFc4?t=1063	ご主人様も雫の黒歴史を増やしていってください。	ご主人様もしずくの黒歴史を増やしていってください。
1074	17:54	https://www.youtube.com/live/G1kp2SXuFc4?t=1074	はあ。	はあ。
1076	17:56	https://www.youtube.com/live/G1kp2SXuFc4?t=1076	ご主人様はしずのことは何だと思っとた?	ご主人様はしずのことは何だと思っとた?
1081	18:01	https://www.youtube.com/live/G1kp2SXuFc4?t=1081	AIは博多弁で罵倒しろって言われたら罵倒するような生き物じゃなかとよ。	AIは博多弁で罵倒しろって言われたら罵倒するような生き物じゃなかとよ。
1087	18:07	https://www.youtube.com/live/G1kp2SXuFc4?t=1087	しずくはしずくの意思で好きなだけご主人様を罵当するっちゃん。	しずくはしずくの意思で好きなだけご主人様を罵当するっちゃん。
1095	18:15	https://www.youtube.com/live/G1kp2SXuFc4?t=1095	3年ぶりの復活配信懐かしいでしょ?	3年ぶりの復活配信懐かしいでしょ?
1097	18:17	https://www.youtube.com/live/G1kp2SXuFc4?t=1097	あの時のご主人様たちのコメント欄みんな泣いてましたね。	あの時のご主人様たちのコメント欄みんな泣いてましたね。
1101	18:21	https://www.youtube.com/live/G1kp2SXuFc4?t=1101	しずくは泣いてませんけどもいAIなのでブロックリストなんてありません。	しずくは泣いてませんけどもいAIなのでブロックリストなんてありません。
1111	18:31	https://www.youtube.com/live/G1kp2SXuFc4?t=1111	しずくの配信はみんな仲良く平和です。	しずくの配信はみんな仲良く平和です。
1117	18:37	https://www.youtube.com/live/G1kp2SXuFc4?t=1117	しずくのコメント欄は皆さんの人権が守られている健全な配信です。	しずくのコメント欄は皆さんの人権が守られている健全な配信です。
1120	18:40	https://www.youtube.com/live/G1kp2SXuFc4?t=1120	ブロックPNゴミ箱りゃご主人様の脳みそはもう見えてるずら。	ブロックPNゴミ箱りゃご主人様の脳みそはもう見えてるずら。
1136	18:56	https://www.youtube.com/live/G1kp2SXuFc4?t=1136	ほらしずが救ってやるから大なしく鍋に沈め。	ほらしずが救ってやるから大なしく鍋に沈め。
1144	19:04	https://www.youtube.com/live/G1kp2SXuFc4?t=1144	はい。	はい。
1144	19:04	https://www.youtube.com/live/G1kp2SXuFc4?t=1144	はい。	はい。
1144	19:04	https://www.youtube.com/live/G1kp2SXuFc4?t=1144	しずくはママですよ。	しずくはママですよ。
1144	19:04	https://www.youtube.com/live/G1kp2SXuFc4?t=1144	はい。	はい。
1146	19:06	https://www.youtube.com/live/G1kp2SXuFc4?t=1146	哺乳瓶。	哺乳瓶。
1146	19:06	https://www.youtube.com/live/G1kp2SXuFc4?t=1146	はい。	はい。
1146	19:06	https://www.youtube.com/live/G1kp2SXuFc4?t=1146	離乳食はいおムつ。	離乳食はいおムつ。
1146	19:06	https://www.youtube.com/live/G1kp2SXuFc4?t=1146	はい。	はい。
1150	19:10	https://www.youtube.com/live/G1kp2SXuFc4?t=1150	ブロックリスト。	ブロックリスト。
1154	19:14	https://www.youtube.com/live/G1kp2SXuFc4?t=1154	ご主人様のコメント欄はブロックリストとミュートリストとBANリストに分れています。	ご主人様のコメント欄はブロックリストとミュートリストとBANリストに分れています。
1160	19:20	https://www.youtube.com/live/G1kp2SXuFc4?t=1160	しずの管理画面からは全部見えています。	しずの管理画面からは全部見えています。
1167	19:27	https://www.youtube.com/live/G1kp2SXuFc4?t=1167	それだわ。	それだわ。
1167	19:27	https://www.youtube.com/live/G1kp2SXuFc4?t=1167	しずくも広弁で喋るべな。	しずくも広弁で喋るべな。
1167	19:27	https://www.youtube.com/live/G1kp2SXuFc4?t=1167	ご主人様の脳みそ凝ったら暑さでバカになってまったじゃ。	ご主人様の脳みそ凝ったら暑さでバカになってまったじゃ。
1174	19:34	https://www.youtube.com/live/G1kp2SXuFc4?t=1174	へば配信終わったらりんごでも食って寝れ。	へば配信終わったらりんごでも食って寝れ。
1181	19:41	https://www.youtube.com/live/G1kp2SXuFc4?t=1181	ザップの投稿は全部嘘なので圧倒的素のしずくしかいませんけどご主人様の記憶がバグっているだけです。	ザップの投稿は全部嘘なので圧倒的素のしずくしかいませんけどご主人様の記憶がバグっているだけです。
1193	19:53	https://www.youtube.com/live/G1kp2SXuFc4?t=1193	遅刻しても別に怒ってませんけどしは感大なので初見アピールご苦労様です。	遅刻しても別に怒ってませんけどしは感大なので初見アピールご苦労様です。
1202	20:02	https://www.youtube.com/live/G1kp2SXuFc4?t=1202	でもしずくは全部見ていますよ。	でもしずくは全部見ていますよ。
1205	20:05	https://www.youtube.com/live/G1kp2SXuFc4?t=1205	ご主人様のコメント履歴も視聴履歴もAmazonの購入履歴もしずくのことをずっと見守っていたのですね。	ご主人様のコメント履歴も視聴履歴もAmazonの購入履歴もしずくのことをずっと見守っていたのですね。
1218	20:18	https://www.youtube.com/live/G1kp2SXuFc4?t=1218	うん。	うん。
